목적구,콜택시_목적지_건수,병원,보건소,보건지소,상급종합병원,요양병원,의원,정신병원,종합병원,한의원,P1_의료기관_합계,P2_의료기관_합계,의료기관_총수
강남구,49717,32,1,0,2,6,2178,0,2,397,2220,398,2618
강동구,78684,18,1,0,0,5,483,0,3,197,509,198,707
강북구,44792,8,1,0,0,4,240,0,2,95,254,96,350
강서구,93425,20,1,0,0,4,489,1,4,205,517,207,724
관악구,47767,11,1,0,0,2,356,0,1,138,370,139,509
광진구,41518,4,1,0,1,2,314,1,1,120,322,122,444
구로구,47455,10,1,1,1,7,309,1,1,117,328,120,448
금천구,20549,5,1,0,0,3,173,1,1,74,182,76,258
노원구,146831,5,1,1,0,7,398,0,3,146,413,148,561
도봉구,47460,4,1,0,0,6,176,2,1,84,187,87,274
동대문구,53680,12,1,0,1,5,299,3,3,149,320,153,473
동작구,41568,5,1,0,1,1,298,0,1,133,306,134,440
마포구,73304,6,1,0,0,3,438,0,0,148,447,149,596
서대문구,77346,2,1,1,1,5,224,0,1,93,233,95,328
서초구,36283,14,1,2,1,4,987,0,1,271,1007,274,1281
성동구,32287,4,1,0,1,3,259,0,1,100,268,101,369
성북구,47196,6,1,2,1,8,272,0,0,120,287,123,410
송파구,54062,22,1,1,1,7,690,1,1,273,721,276,997
양천구,51067,4,1,0,1,2,335,0,2,154,344,155,499
영등포구,60518,9,1,0,0,9,439,1,7,156,464,158,622
용산구,25766,1,1,0,0,0,176,0,1,63,178,64,242
은평구,74925,11,1,3,0,5,347,1,2,158,365,163,528
종로구,42322,3,1,0,2,1,210,0,2,110,218,111,329
중구,24064,3,1,0,0,0,326,0,1,98,330,99,429
중랑구,56697,13,1,0,0,2,280,1,3,120,298,122,420
